LOCUS	ID_MSU7	ID_IRGSP	ID_NCBI	Aliases
Chr01_00056809	LOC_Os01g01110	None	None	OsRLCK1
Chr01_00689792	LOC_Os01g02250	Os01g0112800	LOC112938010	#N/A
Chr01_00710953	LOC_Os01g02280	Os01g0113150	LOC4326123	#N/A
Chr01_01361260	LOC_Os01g03370	None	LOC107275782	#N/A
Chr01_01765034	LOC_Os01g04070	Os01g0132100	None	#N/A
Chr01_01867989	LOC_Os01g04230	Os01g0133900	LOC4325808	#N/A
Chr01_02131487	LOC_Os01g04720	Os01g0140400	LOC4325477	PLRRP
Chr01_02672924	LOC_Os01g05600	Os01g0149350	LOC9270751	NBSt1
Chr01_02684988	LOC_Os01g05620	Os01g0149500	LOC4324511	Pit,r3
Chr01_02691942	LOC_Os01g05640	Os01g0149700	LOC4324513	#N/A
Chr01_02811340	LOC_Os01g05870	Os01g0152000	LOC4324494	#N/A
Chr01_02830325	LOC_Os01g05940	Os01g0152600	LOC4324497	OsRLCK24
Chr01_02834335	LOC_Os01g05940	None	None	OsRLCK24
Chr01_02839979	LOC_Os01g05960	Os01g0152800	LOC4324499	OsRLCK25
Chr01_02851954	LOC_Os01g05980	Os01g0153000	LOC4324501	#N/A
Chr01_03071136	LOC_Os01g06520	Os01g0158600	LOC4324057	#N/A
Chr01_03146760	LOC_Os01g06670	Os01g0160200	LOC4324067	#N/A
Chr01_03152639	LOC_Os01g06680	None	None	#N/A
Chr01_03176544	LOC_Os01g06720	None	LOC107275840	#N/A
Chr01_03182127	LOC_Os01g06730	Os01g0160700	LOC9268594	#N/A
Chr01_03195915	LOC_Os01g06750	None	LOC107280193	#N/A
Chr01_03201223	LOC_Os01g06760	Os01g0161000	LOC4324070	#N/A
Chr01_03222303	LOC_Os01g06790	Os01g0161300	LOC112936121	#N/A
Chr01_03235987	LOC_Os01g06820,LOC_Os01g06836	None	LOC107280255	#N/A
Chr01_03251204	LOC_Os01g06870,LOC_Os01g06876	Os01g0162200,Os01g0162300	LOC107277838,LOC4324407	#N/A
Chr01_03259438	LOC_Os01g06890	Os01g0162500	LOC107278768	#N/A
Chr01_03272839	LOC_Os01g06900	Os01g0162800	LOC4324409,LOC107277018	#N/A
Chr01_03283195	LOC_Os01g06920	Os01g0163000	LOC4324411	#N/A
Chr01_03435618	LOC_Os01g07280	None	LOC107278774	#N/A
Chr01_03621523	LOC_Os01g07560	Os01g0170300	LOC4327633	#N/A
Chr01_03672751	LOC_Os01g07630	Os01g0171000	LOC4327640	OsSERL5, OsBAK1-4, SERK1
Chr01_04104804	LOC_Os01g08370	Os01g0178900	LOC107279786	#N/A
Chr01_05818733	LOC_Os01g10900	Os01g0206800	LOC4327094	PK1
Chr01_06769965	LOC_Os01g12390	Os01g0223600	LOC4326708	OsSRLK
Chr01_07081827	LOC_Os01g12790	None	LOC4327185	#N/A
Chr01_07739232	LOC_Os01g13800	Os01g0239700	LOC4326367	#N/A
Chr01_08751153	LOC_Os01g15580	Os01g0260500	LOC4325115	#N/A
Chr01_09288840	LOC_Os01g16370	Os01g0269500	LOC4326268	#N/A
Chr01_09309845	LOC_Os01g16390	None	LOC107277168	#N/A
Chr01_09314159	LOC_Os01g16400	Os01g0269800	LOC4326269	#N/A
Chr01_09845800	LOC_Os01g17130	None	None	#N/A
Chr01_09921498	LOC_Os01g17250	Os01g0279800	LOC4326906	#N/A
Chr01_11526651	LOC_Os01g20720	Os01g0308300	LOC9267165	#N/A
Chr01_13144785	LOC_Os01g23380	Os01g0335700	LOC4326844	#N/A
Chr01_13983744	LOC_Os01g24820	Os01g0350300	LOC107280567	#N/A
Chr01_14531533	LOC_Os01g25630	Os01g0358700	LOC4326023	#N/A
Chr01_14581150	LOC_Os01g25720	Os01g0359400	LOC4326024,LOC107278977	#N/A
Chr01_14591754	LOC_Os01g25740	Os01g0359600	LOC107277700	#N/A
Chr01_14602976	LOC_Os01g25760	Os01g0359800	LOC4326025	#N/A
Chr01_14617122	LOC_Os01g25810	Os01g0360100	LOC4326026,LOC112936100	#N/A
Chr01_18205235	LOC_Os01g33090	Os01g0514700	LOC4323994	#N/A
Chr01_18229322	LOC_Os01g33110	Os01g0515300	LOC107275806,LOC4323995	#N/A
Chr01_18408073	None	Os01g0518651	LOC107279872	#N/A
Chr01_18540249	LOC_Os01g33684	Os01g0520600	LOC4323979	#N/A
Chr01_18613744	LOC_Os01g33810	Os01g0521600	LOC4323952	#N/A
Chr01_18671229	LOC_Os01g33950	Os01g0523100	LOC107275420	#N/A
Chr01_19518873	LOC_Os01g35254	Os01g0536466,Os01g0536501	LOC112937856,LOC112937856	#N/A
Chr01_20329136	LOC_Os01g36640	Os01g0547000	LOC4326180	#N/A
Chr01_22341478	LOC_Os01g39600	Os01g0577600	LOC4323851	#N/A
Chr01_23635375	LOC_Os01g41750	Os01g0601625	LOC9266262	#N/A
Chr01_23642847	LOC_Os01g41770	Os01g0601675	LOC9268844	#N/A
Chr01_23651398	LOC_Os01g41780	Os01g0601700	LOC9271392,LOC112939619	#N/A
Chr01_23746860	LOC_Os01g41890	Os01g0603100	LOC4324092	#N/A
Chr01_23770115	LOC_Os01g41910	Os01g0603500	None	#N/A
Chr01_23776502	LOC_Os01g41930	Os01g0603800	LOC4324096	OsSTA22
Chr01_23787960	LOC_Os01g41960	Os01g0604150	LOC112939626,LOC107277339	#N/A
Chr01_23981787	LOC_Os01g42294	Os01g0607900	LOC4327723	OsRPK1, OsJNipponRPK1, OsI219RPK1, OsI9311RPK1
Chr01_24027535	LOC_Os01g42330	Os01g0608400	LOC107277690	#N/A
Chr01_24857421	LOC_Os01g43440	Os01g0623000	LOC107276638	OsTMM, TMM
Chr01_27733852	LOC_Os01g48390	OS01g0674800	LOC4325509	#N/A
Chr01_27855548	LOC_Os01g48570	OS01g0677400	LOC9269273	#N/A
Chr01_28664576	LOC_Os01g49910	Os01g0694000	LOC4323882	#N/A
Chr01_28669702	LOC_Os01g49920	Os01g0694100	LOC4323883	#N/A
Chr01_29551773	LOC_Os01g51400	Os01g0711200	LOC4325931	#N/A
Chr01_29931332	LOC_Os01g52050	Os01g0718300	LOC4324691	d61*, dwf42, d61, OsBRI1, OSBRI1, BRI1, Os BRI1, Osbri1
Chr01_31006098	LOC_Os01g53920	Os01g0742400	LOC4326546	#N/A
Chr01_31433202	LOC_Os01g54630	Os01g0750400	LOC4324626	#N/A
Chr01_33092145	LOC_Os01g57270	Os01g0781100	LOC4327841	YR49
Chr01_33099877	LOC_Os01g57280	Os01g0781200	LOC4327842	Pi64
Chr01_33120499	LOC_Os01g57310	Os01g0781700	LOC9268622	Pi37(t), Pi37
Chr01_33141127	LOC_Os01g57340	Os01g0782100	LOC9271927	Pi sh, Pish, Pi-sh, Pish(t)
Chr01_33463434	LOC_Os01g57870	Os01g0788500	LOC4325862	#N/A
Chr01_33818737	LOC_Os01g58520	Os01g0799000	None	#N/A
Chr01_33825609	LOC_Os01g58530	Os01g0799100	LOC4327630	#N/A
Chr01_34299682	None	None	LOC4327557	#N/A
Chr01_34379227	LOC_Os01g59440	Os01g0809300	LOC4327564	OsLRP, OsLRR1, LRR1
Chr01_34436332	LOC_Os01g59550	Os01g0810500	LOC9270191	#N/A
Chr01_34454391	LOC_Os01g59570	Os01g0810800	LOC9272032	#N/A
Chr01_34466010	LOC_Os01g59580	Os01g0811001	LOC4327356	#N/A
Chr01_34739575	LOC_Os01g60060	Os01g0816600	LOC4327487	#N/A
Chr01_34880485	LOC_Os01g60280	Os01g0818600,Os01g0818700	LOC9267172	#N/A
Chr01_34899156	LOC_Os01g60330	Os01g0819100	LOC4327447	#N/A
Chr01_35085588	LOC_Os01g60670	Os01g0821900	LOC4327614	#N/A
Chr01_38113849	LOC_Os01g65650	Os01g0878300	LOC4325091	#N/A
Chr01_38762171	LOC_Os01g66740	Os01g0891601	LOC4324918	#N/A
Chr01_38770462	LOC_Os01g66760	Os01g0891700	LOC4324919	#N/A
Chr01_38795838	LOC_Os01g66820	Os01g0892300	LOC4324921	#N/A
Chr01_40019693	LOC_Os01g68870	Os01g0917500	LOC4324355	Msp1, OsMSP1
Chr01_40561361	LOC_Os01g70080	None	LOC112937619	#N/A
Chr01_41153520	LOC_Os01g71100	Os01g0937300	LOC4326532	#N/A
Chr01_41163870	LOC_Os01g71106,LOC_Os01g71114	Os01g0937400	LOC4326533,LOC107278627	#N/A
Chr01_41681246	LOC_Os01g71930	Os01g0947700	LOC4325836	Osg1, g1
Chr01_41988856	LOC_Os01g72390	None	None	#N/A
Chr01_41997892	LOC_Os01g72410	Os01g0953400	LOC4325754	#N/A
Chr01_42169331	LOC_Os01g72680	Os01g0956800	LOC4325415	#N/A
Chr01_42184240	LOC_Os01g72700	Os01g0957100	LOC4325381	#N/A
Chr01_42347939	LOC_Os01g72990	Os01g0960400	LOC4325243	#N/A
Chr01_43179010	LOC_Os01g74550	Os01g0976900	LOC4327811	#N/A
Chr02_00442462	LOC_Os02g01800	None	LOC112937978	OsRLCK59
Chr02_00640263	LOC_Os02g02140	Os02g0111800	LOC432049	#N/A
Chr02_00884467	LOC_Os02g02490	Os02g0116700	LOC4328081	#N/A
Chr02_00967172	LOC_Os02g02640	None	LOC107280137	#N/A
Chr02_00978126	LOC_Os02g02660	Os02g0118800	LOC107278445	#N/A
Chr02_00990259	LOC_Os02g02670	Os02g0118875,Os02g0118900	LOC4328098	rNBS42,YR16,YR29
Chr02_01000584	None	Os02g0118950	LOC4328099	#N/A
Chr02_01949926	LOC_Os02g04430	Os02g0136900	LOC4328233	#N/A
Chr02_02011707	LOC_Os02g04530	None	LOC107278176	RGG2
Chr02_02783389	LOC_Os02g05686	Os02g0150600	LOC4328311	#N/A
Chr02_02822776	LOC_Os02g05730	Os02g0151100	LOC4328315	#N/A
Chr02_02937231	LOC_Os02g05910	Os02g0153100	LOC4328333	LRK8
Chr02_02941396	LOC_Os02g05920	Os02g0153200	LOC4328333	LRK7
Chr02_02948804	LOC_Os02g05930	Os02g0153400	LOC4328336	LRK6
Chr02_02955585	LOC_Os02g05940	Os02g0153500	LOC112936000	LRK5
Chr02_02962078	LOC_Os02g05950	Os02g0153700	LOC4328339	LRK4
Chr02_02968558	LOC_Os02g05960	Os02g0153900	LOC4328339	LRK3
Chr02_02975382	LOC_Os02g05970	Os02g0154000	LOC4328340	LRK2
Chr02_02982180	LOC_Os02g05980	Os02g0154200	LOC4328342	LRK1,qGY2-1
Chr02_03000982	None	None	LOC4328345	#N/A
Chr02_03007866	LOC_Os02g06030	None	LOC4328345	#N/A
Chr02_03031113	LOC_Os02g06070	None	None	#N/A
Chr02_03037668	LOC_Os02g06090	Os02g0155400	None	#N/A
Chr02_03051079	LOC_Os02g06120	Os02g0155600	LOC107277259,	#N/A
Chr02_03055299	LOC_Os02g06120	None	LOC107276653	#N/A
Chr02_03061490	LOC_Os02g06130	Os02g0155700	LOC107280038	#N/A
Chr02_03073434	LOC_Os02g06140,LOC_Os02g06150	Os02g0155900	LOC107280038	#N/A
Chr02_03087074	LOC_Os02g06180	Os02g0156200	LOC107275615	#N/A
Chr02_03095021	LOC_Os02g06190	Os02g0156400	LOC4328351	#N/A
Chr02_03099379	LOC_Os02g06200	Os02g0156600	LOC4328351	#N/A
Chr02_03104785	LOC_Os02g06205	Os02g0156633	LOC107277094	#N/A
Chr02_03108639	LOC_Os02g06210	Os02g0156800	LOC107277094	#N/A
Chr02_03113436	LOC_Os02g06220,LOC_Os02g06240	Os02g0157000	LOC9271194	#N/A
Chr02_03126569	LOC_Os02g06250	Os02g0157100	LOC4328357	#N/A
Chr02_03129256	LOC_Os02g06260	Os02g0157200	LOC4328357	#N/A
Chr02_03135045	LOC_Os02g06270	Os02g0157400	LOC107280037	#N/A
Chr02_03323244	LOC_Os02g06600	Os02g0161500	LOC107276924	#N/A
Chr02_03333547	None	None	LOC4328388	#N/A
Chr02_04086437	LOC_Os02g07810	Os02g0174400	LOC107277344	#N/A
Chr02_04174984	LOC_Os02g07960	Os02g0176100	LOC4328477	#N/A
Chr02_05020121	LOC_Os02g09740	Os02g0190500	LOC4328571	#N/A
Chr02_05051397	LOC_Os02g09790	Os02g0191000	LOC9272257	#N/A
Chr02_05263890	LOC_Os02g10100	Os02g0194400	LOC4328601	MSL1,OsSRK, SRK
Chr02_05270236	LOC_Os02g10110	Os02g0194600	LOC4328602	#N/A
Chr02_06183952	LOC_Os02g11930	Os02g0210700	LOC4328700	#N/A
Chr02_06212210	LOC_Os02g11980	Os02g0211200	LOC4328704	#N/A
Chr02_06231985	LOC_Os02g12010	None	LOC107276008	#N/A
