LOCUS	ID_OsKitaake
kitaake_Chr01_00070631	OsKitaake01g000800
kitaake_Chr01_00718184	OsKitaake01g006800
kitaake_Chr01_00741276	OsKitaake01g007200
kitaake_Chr01_01394679	OsKitaake01g016800
kitaake_Chr01_01820859	OsKitaake01g021800
kitaake_Chr01_01923655	OsKitaake01g023300
kitaake_Chr01_02190953	OsKitaake01g027500
kitaake_Chr01_02704100	OsKitaake01g033800
kitaake_Chr01_02716160	OsKitaake01g034000
kitaake_Chr01_02723076	OsKitaake01g034108,OsKitaake01g034116
kitaake_Chr01_02840580	OsKitaake01g036000
kitaake_Chr01_02854762	OsKitaake01g036400
kitaake_Chr01_02858772	None
kitaake_Chr01_02864416	OsKitaake01g036700
kitaake_Chr01_02877436	OsKitaake01g037000
kitaake_Chr01_03146260	OsKitaake01g041200
kitaake_Chr01_03246826	OsKitaake01g042400
kitaake_Chr01_03254391	OsKitaake01g042500
kitaake_Chr01_03259926	OsKitaake01g042700
kitaake_Chr01_03273160	OsKitaake01g042900
kitaake_Chr01_03290421	OsKitaake01g043000
kitaake_Chr01_03300461	OsKitaake01g043200
kitaake_Chr01_03318006	OsKitaake01g043300
kitaake_Chr01_03326745	OsKitaake01g043500
kitaake_Chr01_03341897	OsKitaake01g043600
kitaake_Chr01_03524697	OsKitaake01g046900
kitaake_Chr01_03710604	OsKitaake01g049500
kitaake_Chr01_03761832	OsKitaake01g050200
kitaake_Chr01_04194289	OsKitaake01g056100
kitaake_Chr01_05921750	OsKitaake01g075600
kitaake_Chr01_06894441	OsKitaake01g086700
kitaake_Chr01_07207050	OsKitaake01g090100
kitaake_Chr01_07864836	OsKitaake01g098500
kitaake_Chr01_08894429	OsKitaake01g111100
kitaake_Chr01_09434339	OsKitaake01g121000
kitaake_Chr01_09455341	OsKitaake01g121200
kitaake_Chr01_09459653	OsKitaake01g121300
kitaake_Chr01_10004520	None
kitaake_Chr01_10080217	OsKitaake01g127300
kitaake_Chr01_11706457	OsKitaake01g141100
kitaake_Chr01_13355358	OsKitaake01g156200
kitaake_Chr01_14261006	OsKitaake01g163000
kitaake_Chr01_14793916	OsKitaake01g167300,OsKitaake01g167400
kitaake_Chr01_14852062	OsKitaake01g141400
kitaake_Chr01_14866785	OsKitaake01g141550
kitaake_Chr01_14878007	OsKitaake01g141700
kitaake_Chr01_14892148	OsKitaake01g141900
kitaake_Chr01_18569871	OsKitaake01g186400
kitaake_Chr01_18593958	OsKitaake01g186500,OsKitaake01g186600
kitaake_Chr01_18772736	OsKitaake01g188700
kitaake_Chr01_18897365	OsKitaake01g189800
kitaake_Chr01_18906952	OsKitaake01g189900
kitaake_Chr01_18965359	OsKitaake01g190500
kitaake_Chr01_19022589	OsKitaake01g191100
kitaake_Chr01_20669391	OsKitaake01g202500
kitaake_Chr01_21415346	OsKitaake01g207764
kitaake_Chr01_22882466	OsKitaake01g217800
kitaake_Chr01_24189105	OsKitaake01g232700
kitaake_Chr01_24196579	OsKitaake01g232800
kitaake_Chr01_24205153	OsKitaake01g232900,OsKitaake01g233000
kitaake_Chr01_24304527	OsKitaake01g234000
kitaake_Chr01_24327961	None
kitaake_Chr01_24352008	None
kitaake_Chr01_24369600	OsKitaake01g234700
kitaake_Chr01_24625282	OsKitaake01g237900
kitaake_Chr01_24670915	OsKitaake01g238100
kitaake_Chr01_25503694	OsKitaake01g247400
kitaake_Chr01_28523156	OsKitaake01g276800
kitaake_Chr01_28657890	None
kitaake_Chr01_29467446	OsKitaake01g288600
kitaake_Chr01_29472569	OsKitaake01g288700,OsKitaake01g288800
kitaake_Chr01_30346278	OsKitaake01g299300
kitaake_Chr01_30734469	OsKitaake01g304100
kitaake_Chr01_31811515	OsKitaake01g319800
kitaake_Chr01_32239136	OsKitaake01g325900
kitaake_Chr01_33918222	OsKitaake01g348700
kitaake_Chr01_33925954	OsKitaake01g348800
kitaake_Chr01_33946579	OsKitaake01g348900
kitaake_Chr01_33978088	OsKitaake01g349000
kitaake_Chr01_34301191	OsKitaake01g353300
kitaake_Chr01_34673203	OsKitaake01g364500
kitaake_Chr01_34680074	OsKitaake01g364600
kitaake_Chr01_35154737	OsKitaake01g370800
kitaake_Chr01_35254446	OsKitaake01g371400
kitaake_Chr01_35312728	OsKitaake01g372400
kitaake_Chr01_35320843	OsKitaake01g372500
kitaake_Chr01_35330813	OsKitaake01g372600
kitaake_Chr01_35342044	OsKitaake01g372700
kitaake_Chr01_35615854	OsKitaake01g377000
kitaake_Chr01_35756779	OsKitaake01g378600
kitaake_Chr01_35775884	OsKitaake01g378900
kitaake_Chr01_36006475	OsKitaake01g381400
kitaake_Chr01_39150027	OsKitaake01g420500
kitaake_Chr01_39798491	OsKitaake01g430600
kitaake_Chr01_39806782	OsKitaake01g430700
kitaake_Chr01_39832194	OsKitaake01g430800
kitaake_Chr01_41060317	OsKitaake01g448100
kitaake_Chr01_41604526	OsKitaake01g454200
kitaake_Chr01_42203780	OsKitaake01g464200
kitaake_Chr01_42214130	OsKitaake01g464400,OsKitaake01g464500
kitaake_Chr01_42765350	OsKitaake01g471200
kitaake_Chr01_43063712	None
kitaake_Chr01_43072747	OsKitaake01g475300
kitaake_Chr01_43244271	OsKitaake01g477700
kitaake_Chr01_43259179	OsKitaake01g477900
kitaake_Chr01_43422890	OsKitaake01g480600
kitaake_Chr01_44204410	OsKitaake01g493800
kitaake_Chr02_00466588	OsKitaake02g006800
kitaake_Chr02_00662478	OsKitaake02g009700
kitaake_Chr02_00906992	OsKitaake02g012800
kitaake_Chr02_00989803	OsKitaake02g014300
kitaake_Chr02_01000736	OsKitaake02g014401
kitaake_Chr02_01012869	OsKitaake02g014700,OsKitaake02g014800,OsKitaake02g014900
kitaake_Chr02_01023194	None
kitaake_Chr02_01985629	OsKitaake02g030200
kitaake_Chr02_02047409	OsKitaake02g031100
kitaake_Chr02_02838405	OsKitaake02g040700
kitaake_Chr02_02877909	OsKitaake02g041200
kitaake_Chr02_02992452	OsKitaake02g042601
kitaake_Chr02_02996617	OsKitaake02g042700
kitaake_Chr02_03004028	None
kitaake_Chr02_03010809	OsKitaake02g042900
kitaake_Chr02_03017302	OsKitaake02g043800
kitaake_Chr02_03023782	None
kitaake_Chr02_03030606	OsKitaake02g043400
kitaake_Chr02_03037404	OsKitaake02g043500
kitaake_Chr02_03056206	OsKitaake02g043601
kitaake_Chr02_03063089	OsKitaake02g043651
kitaake_Chr02_03086337	OsKitaake02g044100
kitaake_Chr02_03092892	OsKitaake02g044200
kitaake_Chr02_03106303	OsKitaake02g044300,OsKitaake02g044400
kitaake_Chr02_03110523	None
kitaake_Chr02_03116714	OsKitaake02g044600
kitaake_Chr02_03128658	OsKitaake02g044650,OsKitaake02g044700
kitaake_Chr02_03142316	None
kitaake_Chr02_03150263	OsKitaake02g045100
kitaake_Chr02_03154621	OsKitaake02g045200
kitaake_Chr02_03160027	OsKitaake02g045300
kitaake_Chr02_03163881	OsKitaake02g045400
kitaake_Chr02_03168678	None
kitaake_Chr02_03181811	None
kitaake_Chr02_03184498	OsKitaake02g045700
kitaake_Chr02_03190287	OsKitaake02g045900
kitaake_Chr02_03396396	OsKitaake02g049000
kitaake_Chr02_03406891	OsKitaake02g049250
kitaake_Chr02_04160578	OsKitaake02g058700
kitaake_Chr02_04249240	OsKitaake02g060000
kitaake_Chr02_05110056	OsKitaake02g070600
kitaake_Chr02_05141334	OsKitaake02g071100
kitaake_Chr02_05354333	OsKitaake02g073800
kitaake_Chr02_05360679	OsKitaake02g073901
kitaake_Chr02_06278628	OsKitaake02g084900
kitaake_Chr02_06306886	OsKitaake02g085400
kitaake_Chr02_06326691	OsKitaake02g085800
kitaake_Chr02_06345305	None
kitaake_Chr02_06351079	None
kitaake_Chr02_06563844	OsKitaake02g089100
kitaake_Chr02_06575456	OsKitaake02g089301
kitaake_Chr02_06580872	OsKitaake02g089600
kitaake_Chr02_06586217	OsKitaake02g089701
kitaake_Chr02_06910427	OsKitaake02g093900
kitaake_Chr02_06926875	OsKitaake02g094200
kitaake_Chr02_07245979	OsKitaake02g097100
kitaake_Chr02_07253678	OsKitaake02g097200
kitaake_Chr02_07264776	OsKitaake02g097400
kitaake_Chr02_07273389	OsKitaake02g097566
kitaake_Chr02_07313442	OsKitaake02g097700
kitaake_Chr02_07526764	OsKitaake02g099400
kitaake_Chr02_07589982	OsKitaake02g100000
kitaake_Chr02_07804196	OsKitaake02g101900
kitaake_Chr02_08059905	OsKitaake02g103400
kitaake_Chr02_09218442	OsKitaake02g115000
kitaake_Chr02_09236230	OsKitaake02g115200
kitaake_Chr02_09319196	OsKitaake02g115850
kitaake_Chr02_09338872	OsKitaake02g116000
kitaake_Chr02_09365555	OsKitaake02g116100
kitaake_Chr02_09495497	None
kitaake_Chr02_10024804	OsKitaake02g120900
kitaake_Chr02_10094211	OsKitaake02g121600
kitaake_Chr02_10297159	OsKitaake02g123050,OsKitaake02g123100
kitaake_Chr02_10320964	OsKitaake02g123200
kitaake_Chr02_10527758	OsKitaake02g124800
kitaake_Chr02_10571897	OsKitaake02g124900,OsKitaake02g125000
kitaake_Chr02_10586137	OsKitaake02g125100
kitaake_Chr02_10617115	OsKitaake02g125500
kitaake_Chr02_10716131	OsKitaake02g126100
kitaake_Chr02_10862201	OsKitaake02g127200
kitaake_Chr02_11642644	OsKitaake02g134100
kitaake_Chr02_11799098	OsKitaake02g134900
kitaake_Chr02_11809892	OsKitaake02g135000
kitaake_Chr02_11997021	OsKitaake02g136200
kitaake_Chr02_12190105	OsKitaake02g138150,OsKitaake02g138200
kitaake_Chr02_12210294	None
kitaake_Chr02_12251434	None
kitaake_Chr02_15316921	OsKitaake02g159700
kitaake_Chr02_15593585	None
kitaake_Chr02_15968794	None
kitaake_Chr02_16410828	OsKitaake02g168200
kitaake_Chr02_16437004	None
kitaake_Chr02_16447657	OsKitaake02g168400
kitaake_Chr02_16537302	OsKitaake02g169100
kitaake_Chr02_16545313	None
kitaake_Chr02_18151572	OsKitaake02g180600
kitaake_Chr02_18908826	OsKitaake02g185300
kitaake_Chr02_21270284	OsKitaake02g205000,OsKitaake02g205100
kitaake_Chr02_21284553	OsKitaake02g205200
kitaake_Chr02_21586212	OsKitaake02g209000
kitaake_Chr02_23665036	OsKitaake02g232400
kitaake_Chr02_24090586	OsKitaake02g237400
kitaake_Chr02_24442890	OsKitaake02g242850
kitaake_Chr02_24456055	None
kitaake_Chr02_24785177	OsKitaake02g246700
kitaake_Chr02_24794976	OsKitaake02g246800
kitaake_Chr02_24811378	OsKitaake02g247000
kitaake_Chr02_24821006	None
kitaake_Chr02_24826186	OsKitaake02g247300,OsKitaake02g247400
kitaake_Chr02_24831489	OsKitaake02g247500
kitaake_Chr02_25131608	OsKitaake02g247940,OsKitaake02g248020
kitaake_Chr02_25940830	OsKitaake02g255800
kitaake_Chr02_26224082	OsKitaake02g260300
kitaake_Chr02_29351681	None
kitaake_Chr02_31172205	OsKitaake02g318800
kitaake_Chr02_31564558	OsKitaake02g321864
kitaake_Chr02_34112100	OsKitaake02g354300
kitaake_Chr02_36336823	OsKitaake02g384800
kitaake_Chr02_36934753	OsKitaake02g395800
kitaake_Chr03_00305204	None
kitaake_Chr03_01652297	OsKitaake03g023300
kitaake_Chr03_02589821	OsKitaake03g036600
kitaake_Chr03_04523251	OsKitaake03g065200
kitaake_Chr03_04560429	OsKitaake03g065800
kitaake_Chr03_05772278	OsKitaake03g081800
kitaake_Chr03_05779526	OsKitaake03g082000
kitaake_Chr03_06017295	OsKitaake03g086200
kitaake_Chr03_06026563	OsKitaake03g086400
kitaake_Chr03_06607690	OsKitaake03g094300
kitaake_Chr03_06984457	OsKitaake03g098200
kitaake_Chr03_08303843	OsKitaake03g114600
kitaake_Chr03_08955512	OsKitaake03g122800
kitaake_Chr03_10565607	OsKitaake03g145100
kitaake_Chr03_11712890	OsKitaake03g159000
kitaake_Chr03_11923968	OsKitaake03g162100
kitaake_Chr03_12241060	OsKitaake03g165200
kitaake_Chr03_12412125	OsKitaake03g167000
kitaake_Chr03_12534627	OsKitaake03g169300
kitaake_Chr03_15237242	OsKitaake03g197700
kitaake_Chr03_16284962	OsKitaake03g207200
kitaake_Chr03_16472080	OsKitaake03g208900
kitaake_Chr03_16860629	OsKitaake03g210900
kitaake_Chr03_16923216	OsKitaake03g211200
kitaake_Chr03_16928730	OsKitaake03g211233
kitaake_Chr03_18007801	OsKitaake03g220200
kitaake_Chr03_19042150	OsKitaake03g227900
kitaake_Chr03_20960546	OsKitaake03g233300
kitaake_Chr03_21425337	OsKitaake03g236100
kitaake_Chr03_21741788	OsKitaake03g238800
kitaake_Chr03_21776276	OsKitaake03g239000
kitaake_Chr03_22036385	OsKitaake03g241229
kitaake_Chr03_22057336	OsKitaake03g241258
kitaake_Chr03_22089127	OsKitaake03g241316
kitaake_Chr03_23021773	OsKitaake03g248700,OsKitaake03g248800
kitaake_Chr03_23038150	OsKitaake03g248900
kitaake_Chr03_25575263	OsKitaake03g270300
kitaake_Chr03_27418703	OsKitaake03g283000
kitaake_Chr03_28615501	OsKitaake03g296700
kitaake_Chr03_28630763	None
kitaake_Chr03_28934719	OsKitaake03g300400
kitaake_Chr03_28940709	OsKitaake03g300501
kitaake_Chr03_29353689	OsKitaake03g306100
kitaake_Chr03_29696050	OsKitaake03g310100
kitaake_Chr03_29894910	OsKitaake03g312600
kitaake_Chr03_30119735	OsKitaake03g315600
kitaake_Chr03_30533359	OsKitaake03g320500
kitaake_Chr03_31617222	None
kitaake_Chr03_31724382	OsKitaake03g334400
kitaake_Chr03_32468226	OsKitaake03g343900
kitaake_Chr03_33328439	OsKitaake03g356100
kitaake_Chr03_33358934	OsKitaake03g356300
kitaake_Chr03_34228399	OsKitaake03g370300
kitaake_Chr03_37060767	OsKitaake03g414100
kitaake_Chr03_37078049	OsKitaake03g414400
kitaake_Chr03_37099743	OsKitaake03g414600
kitaake_Chr04_00667179	OsKitaake04g005300
kitaake_Chr04_00711582	OsKitaake04g005700
kitaake_Chr04_00720567	OsKitaake04g005800
kitaake_Chr04_00916664	OsKitaake04g006900
kitaake_Chr04_01108626	OsKitaake04g008700
kitaake_Chr04_01158140	OsKitaake04g009300
kitaake_Chr04_01334782	OsKitaake04g010000,OsKitaake04g010100
kitaake_Chr04_01361576	OsKitaake04g010200
kitaake_Chr04_02023164	OsKitaake04g013400
kitaake_Chr04_03175876	OsKitaake04g016775
kitaake_Chr04_03219288	OsKitaake04g016801
kitaake_Chr04_03220872	OsKitaake04g016826
kitaake_Chr04_05152775	OsKitaake04g024900
kitaake_Chr04_05168040	OsKitaake04g025200
kitaake_Chr04_06991606	OsKitaake04g035401
kitaake_Chr04_07189834	OsKitaake04g036400
kitaake_Chr04_07634670	OsKitaake04g038300
kitaake_Chr04_07811044	OsKitaake04g039700
kitaake_Chr04_08695349	OsKitaake04g044600
kitaake_Chr04_08888452	None
kitaake_Chr04_08890727	None
kitaake_Chr04_09212057	OsKitaake04g047301
kitaake_Chr04_09234830	OsKitaake04g047500,OsKitaake04g047600
kitaake_Chr04_09257443	OsKitaake04g047700
kitaake_Chr04_09264366	OsKitaake04g047800
kitaake_Chr04_13367371	OsKitaake04g064100
kitaake_Chr04_13484457	OsKitaake04g064600
kitaake_Chr04_13698085	OsKitaake04g066200
kitaake_Chr04_13973260	OsKitaake04g067100
kitaake_Chr04_15272625	OsKitaake04g073200
kitaake_Chr04_16229494	OsKitaake04g079600
kitaake_Chr04_17303012	OsKitaake04g084800
kitaake_Chr04_17325284	OsKitaake04g085100
kitaake_Chr04_17466992	OsKitaake04g086700
kitaake_Chr04_19246025	OsKitaake04g097600,OsKitaake04g097700
kitaake_Chr04_19276211	OsKitaake04g098100
kitaake_Chr04_19315835	OsKitaake04g098300
kitaake_Chr04_19338036	None
kitaake_Chr04_19491503	OsKitaake04g100200,OsKitaake04g100300
kitaake_Chr04_20923511	OsKitaake04g114300
kitaake_Chr04_21105488	None
kitaake_Chr04_22497495	OsKitaake04g132800
kitaake_Chr04_24074333	OsKitaake04g153600
kitaake_Chr04_24333943	OsKitaake04g157200
kitaake_Chr04_24734392	OsKitaake04g162900
kitaake_Chr04_24854525	OsKitaake04g164500
kitaake_Chr04_25112035	OsKitaake04g168800
kitaake_Chr04_25281450	OsKitaake04g171400
kitaake_Chr04_25597348	OsKitaake04g177100
kitaake_Chr04_25790901	OsKitaake04g179700
kitaake_Chr04_26467992	OsKitaake04g189900
kitaake_Chr04_26507346	OsKitaake04g190400
kitaake_Chr04_26889961	OsKitaake04g194900
kitaake_Chr04_26965903	OsKitaake04g195800
kitaake_Chr04_27964880	OsKitaake04g207700
kitaake_Chr04_28719739	OsKitaake04g215300
kitaake_Chr04_30377864	OsKitaake04g233800
kitaake_Chr04_32569620	OsKitaake04g261300
kitaake_Chr04_32581006	OsKitaake04g261400
kitaake_Chr04_32597041	OsKitaake04g261500,OsKitaake04g261600
kitaake_Chr04_32606392	OsKitaake04g261700
kitaake_Chr04_32615024	OsKitaake04g261800,OsKitaake04g261900
kitaake_Chr04_32626592	OsKitaake04g262000
kitaake_Chr04_32723941	OsKitaake04g263700
kitaake_Chr04_32862086	OsKitaake04g265700
kitaake_Chr04_32874169	OsKitaake04g266000
kitaake_Chr04_32886905	OsKitaake04g266100
kitaake_Chr04_32895775	None
kitaake_Chr04_32909145	OsKitaake04g266200
kitaake_Chr04_32947107	OsKitaake04g266700
kitaake_Chr04_32972196	OsKitaake04g267000
kitaake_Chr04_33169942	OsKitaake04g270200
kitaake_Chr04_33177299	None
kitaake_Chr04_34355224	OsKitaake04g285500
kitaake_Chr04_34366448	OsKitaake04g285600
kitaake_Chr04_34382868	OsKitaake04g285650,OsKitaake04g285700
kitaake_Chr04_34509633	OsKitaake04g287400
kitaake_Chr04_35560666	OsKitaake04g303300
kitaake_Chr04_35691097	OsKitaake04g304800
kitaake_Chr04_35720607	OsKitaake04g305100
kitaake_Chr04_36290308	OsKitaake04g314300
kitaake_Chr04_36431941	OsKitaake04g316800
kitaake_Chr05_00234196	OsKitaake05g003100
kitaake_Chr05_01537633	OsKitaake05g018425
kitaake_Chr05_03426863	OsKitaake05g041300
kitaake_Chr05_04438009	OsKitaake05g051500
kitaake_Chr05_04478668	OsKitaake05g052000
kitaake_Chr05_04505107	OsKitaake05g052200
kitaake_Chr05_05768530	OsKitaake05g061400
kitaake_Chr05_07542175	OsKitaake05g075600
kitaake_Chr05_07660290	OsKitaake05g076700
kitaake_Chr05_08900092	OsKitaake05g084000
kitaake_Chr05_09254140	OsKitaake05g086500
kitaake_Chr05_09522723	OsKitaake05g087600
kitaake_Chr05_09529775	OsKitaake05g087700
kitaake_Chr05_09692900	OsKitaake05g088800
kitaake_Chr05_09858551	OsKitaake05g089500
kitaake_Chr05_09914404	OsKitaake05g089600
kitaake_Chr05_09997275	OsKitaake05g089602
kitaake_Chr05_10055139	OsKitaake05g089900
kitaake_Chr05_10133682	None
kitaake_Chr05_11428421	OsKitaake05g090402
kitaake_Chr05_11535042	OsKitaake05g095600
kitaake_Chr05_13308630	OsKitaake05g102700
kitaake_Chr05_13860983	OsKitaake05g107500
kitaake_Chr05_13877582	OsKitaake05g107700
kitaake_Chr05_17562134	OsKitaake05g134600
kitaake_Chr05_18391763	OsKitaake05g143300
kitaake_Chr05_18403237	OsKitaake05g143400
kitaake_Chr05_18426124	OsKitaake05g143600
kitaake_Chr05_18445758	OsKitaake05g143602
kitaake_Chr05_19169945	OsKitaake05g150000
kitaake_Chr05_19501360	OsKitaake05g153500
kitaake_Chr05_19880974	OsKitaake05g157900
kitaake_Chr05_20310650	OsKitaake05g161700
kitaake_Chr05_20318350	OsKitaake05g161800
kitaake_Chr05_20337730	OsKitaake05g161900
kitaake_Chr05_23238304	OsKitaake05g194200
kitaake_Chr05_23643504	OsKitaake05g206800
kitaake_Chr05_23704821	OsKitaake05g207400
kitaake_Chr05_23706189	OsKitaake05g207500
kitaake_Chr05_23727763	OsKitaake05g207900
kitaake_Chr05_23773988	OsKitaake05g208600
kitaake_Chr05_24025165	OsKitaake05g212400
kitaake_Chr05_24271347	OsKitaake05g216600
kitaake_Chr05_24304463	OsKitaake05g217200
kitaake_Chr05_24317143	OsKitaake05g217300
kitaake_Chr05_26231527	OsKitaake05g231800
kitaake_Chr05_26345194	OsKitaake05g232800
kitaake_Chr05_26352195	OsKitaake05g232900
kitaake_Chr05_26363303	OsKitaake05g233000
kitaake_Chr05_26375178	OsKitaake05g233100
kitaake_Chr05_26385081	OsKitaake05g233200
kitaake_Chr05_26391718	OsKitaake05g233300
kitaake_Chr05_29430715	None
kitaake_Chr05_29431238	None
kitaake_Chr05_29605543	OsKitaake05g282100
kitaake_Chr05_29977884	OsKitaake05g287800
kitaake_Chr06_01386253	OsKitaake06g015300
kitaake_Chr06_01641175	OsKitaake06g019700
kitaake_Chr06_01900260	OsKitaake06g023600
kitaake_Chr06_02134583	OsKitaake06g027200
kitaake_Chr06_02145833	OsKitaake06g027500
kitaake_Chr06_02151200	OsKitaake06g027600
kitaake_Chr06_02455358	OsKitaake06g032600
kitaake_Chr06_03034038	OsKitaake06g041800
kitaake_Chr06_03040607	OsKitaake06g041900
kitaake_Chr06_03045379	OsKitaake06g042000
kitaake_Chr06_03297291	OsKitaake06g045900
kitaake_Chr06_03304472	OsKitaake06g046000
kitaake_Chr06_03467331	OsKitaake06g048500
kitaake_Chr06_03720612	OsKitaake06g051600
kitaake_Chr06_03981808	OsKitaake06g055500
kitaake_Chr06_04373486	OsKitaake06g060200
kitaake_Chr06_04381561	OsKitaake06g060300
kitaake_Chr06_04389536	OsKitaake06g060400
kitaake_Chr06_05156578	OsKitaake06g069100
kitaake_Chr06_05390531	OsKitaake06g072500
kitaake_Chr06_06628688	OsKitaake06g086700
