ID_NIP	ID_KIT	Gene-Fam	NIP_canoncal	KIT_canonical
Chr01_00056809	kitaake_Chr01_00070631	RLK	notCanonic	notCanonic
Chr01_00689792	kitaake_Chr01_00718184	NLR	notCanonic	notCanonic
Chr01_00710953	kitaake_Chr01_00741276	NLR	notCanonic	notCanonic
Chr01_01361260	kitaake_Chr01_01394679	RLK	Canonic	Canonic
Chr01_01765034	kitaake_Chr01_01820859	RLP	Canonic	notCanonic
Chr01_01867989	kitaake_Chr01_01923655	RLK	Canonic	Canonic
Chr01_02131487	kitaake_Chr01_02190953	RLP	Canonic	Canonic
Chr01_02672924	kitaake_Chr01_02704100	NLR	Canonic	Canonic
Chr01_02684988	kitaake_Chr01_02716160	NLR	Canonic	Canonic
Chr01_02691942	kitaake_Chr01_02723076	RLK	notCanonic	notCanonic
Chr01_02811340	kitaake_Chr01_02840580	RLK	Canonic	Canonic
Chr01_02830325	kitaake_Chr01_02854762	RLK	Canonic	Canonic
Chr01_02834335	kitaake_Chr01_02858772	RLK	notCanonic	notCanonic
Chr01_02839979	kitaake_Chr01_02864416	RLK	Canonic	Canonic
Chr01_02851954	kitaake_Chr01_02877436	RLK	Canonic	Canonic
Chr01_03071136	kitaake_Chr01_03146260	RLP	Canonic	Canonic
Chr01_03146760	kitaake_Chr01_03246826	RLP	Canonic	Canonic
Chr01_03152639	None	RLP	notCanonic	NA
Chr01_03176544	kitaake_Chr01_03254391	RLP	notCanonic	notCanonic
Chr01_03182127	kitaake_Chr01_03259926	RLP	Canonic	Canonic
Chr01_03195915	None	RLP	notCanonic	NA
Chr01_03201223	kitaake_Chr01_03273160	RLP	notCanonic	notCanonic
None	kitaake_Chr01_03290421	RLP	NA	notCanonic
Chr01_03222303	kitaake_Chr01_03300461	RLP	Canonic	Canonic
Chr01_03235987	kitaake_Chr01_03318006	RLP	notCanonic	Canonic
Chr01_03251204	kitaake_Chr01_03326745	RLP	notCanonic	notCanonic
Chr01_03259438	None	RLP	notCanonic	NA
Chr01_03272839	None	RLP	Canonic	NA
Chr01_03283195	kitaake_Chr01_03341897	RLP	Canonic	Canonic
Chr01_03435618	kitaake_Chr01_03524697	RLP	notCanonic	notCanonic
Chr01_03621523	kitaake_Chr01_03710604	RLK	Canonic	Canonic
Chr01_03672751	kitaake_Chr01_03761832	RLK	Canonic	Canonic
Chr01_04104804	kitaake_Chr01_04194289	NLR	Canonic	Canonic
Chr01_05818733	kitaake_Chr01_05921750	RLK	Canonic	Canonic
Chr01_06769965	kitaake_Chr01_06894441	RLK	Canonic	Canonic
Chr01_07081827	kitaake_Chr01_07207050	RLK	Canonic	Canonic
Chr01_07739232	kitaake_Chr01_07864836	RLK	Canonic	Canonic
Chr01_08751153	kitaake_Chr01_08894429	NLR	Canonic	Canonic
Chr01_09288840	kitaake_Chr01_09434339	NLR	notCanonic	Canonic
Chr01_09309845	kitaake_Chr01_09455341	NLR	Canonic	Canonic
Chr01_09314159	kitaake_Chr01_09459653	NLR	Canonic	Canonic
Chr01_09845800	kitaake_Chr01_10004520	NLR	notCanonic	notCanonic
Chr01_09921498	kitaake_Chr01_10080217	RLP	Canonic	Canonic
Chr01_11526651	kitaake_Chr01_11706457	NLR	Canonic	Canonic
Chr01_13144785	kitaake_Chr01_13355358	NLR	Canonic	Canonic
Chr01_13983744	kitaake_Chr01_14261006	NLR	notCanonic	notCanonic
Chr01_14531533	kitaake_Chr01_14793916	NLR	notCanonic	notCanonic
Chr01_14581150	kitaake_Chr01_14852062	NLR	notCanonic	notCanonic
Chr01_14591754	kitaake_Chr01_14866785	NLR	Canonic	notCanonic
Chr01_14602976	kitaake_Chr01_14878007	NLR	Canonic	Canonic
Chr01_14617122	kitaake_Chr01_14892148	NLR	notCanonic	notCanonic
Chr01_18205235	kitaake_Chr01_18569871	RLK	Canonic	Canonic
Chr01_18229322	kitaake_Chr01_18593958	RLK	notCanonic	notCanonic
Chr01_18408073	kitaake_Chr01_18772736	NLR	Canonic	Canonic
Chr01_18540249	kitaake_Chr01_18897365	NLR	Canonic	Canonic
None	kitaake_Chr01_18906952	NLR	NA	Canonic
Chr01_18613744	kitaake_Chr01_18965359	NLR	notCanonic	Canonic
Chr01_18671229	kitaake_Chr01_19022589	RLK	Canonic	Canonic
Chr01_19518873	None	NLR	Canonic	NA
Chr01_20329136	kitaake_Chr01_20669391	NLR	Canonic	Canonic
None	kitaake_Chr01_21415346	RLK	NA	Canonic
Chr01_22341478	kitaake_Chr01_22882466	RLK	Canonic	Canonic
Chr01_23635375	kitaake_Chr01_24189105	RLP	Canonic	Canonic
Chr01_23642847	kitaake_Chr01_24196579	RLP	Canonic	Canonic
Chr01_23651398	kitaake_Chr01_24205153	RLP	notCanonic	notCanonic
Chr01_23746860	kitaake_Chr01_24304527	NLR	notCanonic	Canonic
Chr01_23770115	kitaake_Chr01_24327961	RLP	Canonic	notCanonic
Chr01_23776502	kitaake_Chr01_24352008	RLP	notCanonic	notCanonic
Chr01_23787960	kitaake_Chr01_24369600	RLP	notCanonic	notCanonic
Chr01_23981787	kitaake_Chr01_24625282	RLK	Canonic	Canonic
Chr01_24027535	kitaake_Chr01_24670915	NLR	Canonic	Canonic
Chr01_24857421	kitaake_Chr01_25503694	UC	Canonic	Canonic
Chr01_27733852	kitaake_Chr01_28523156	RLK	Canonic	Canonic
Chr01_27855548	kitaake_Chr01_28657890	RLP	notCanonic	notCanonic
Chr01_28664576	kitaake_Chr01_29467446	RLK	Canonic	Canonic
Chr01_28669702	kitaake_Chr01_29472569	RLK	notCanonic	notCanonic
Chr01_29551773	kitaake_Chr01_30346278	RLK	Canonic	Canonic
Chr01_29931332	kitaake_Chr01_30734469	RLK	Canonic	Canonic
Chr01_31006098	kitaake_Chr01_31811515	RLK	Canonic	Canonic
Chr01_31433202	kitaake_Chr01_32239136	RLP	Canonic	Canonic
Chr01_33092145	kitaake_Chr01_33918222	NLR	Canonic	Canonic
Chr01_33099877	kitaake_Chr01_33925954	NLR	Canonic	Canonic
Chr01_33120499	kitaake_Chr01_33946579	NLR	Canonic	Canonic
Chr01_33141127	kitaake_Chr01_33978088	NLR	Canonic	Canonic
Chr01_33463434	kitaake_Chr01_34301191	NLR	Canonic	Canonic
Chr01_33818737	kitaake_Chr01_34673203	NLR	Canonic	Canonic
Chr01_33825609	kitaake_Chr01_34680074	NLR	Canonic	Canonic
Chr01_34299682	kitaake_Chr01_35154737	NLR	Canonic	Canonic
Chr01_34379227	kitaake_Chr01_35254446	RLP	Canonic	Canonic
Chr01_34436332	kitaake_Chr01_35312728	RLK	Canonic	Canonic
Chr01_34454391	kitaake_Chr01_35330813	RLK	Canonic	Canonic
Chr01_34466010	kitaake_Chr01_35342044	RLK	Canonic	notCanonic
Chr01_34739575	kitaake_Chr01_35615854	RLK	Canonic	Canonic
Chr01_34880485	kitaake_Chr01_35756779	RLK	Canonic	Canonic
Chr01_34899156	kitaake_Chr01_35775884	RLK	Canonic	Canonic
Chr01_35085588	kitaake_Chr01_36006475	RLK	Canonic	notCanonic
Chr01_38113849	kitaake_Chr01_39150027	RLK	Canonic	Canonic
Chr01_38762171	kitaake_Chr01_39798491	RLP	Canonic	Canonic
Chr01_38770462	kitaake_Chr01_39806782	RLP	Canonic	Canonic
Chr01_38795838	kitaake_Chr01_39832194	RLP	Canonic	Canonic
Chr01_40019693	kitaake_Chr01_41060317	RLK	Canonic	Canonic
Chr01_40561361	kitaake_Chr01_41604526	NLR	Canonic	Canonic
Chr01_41153520	kitaake_Chr01_42203780	NLR	notCanonic	notCanonic
Chr01_41163870	kitaake_Chr01_42214130	NLR	notCanonic	notCanonic
Chr01_41681246	kitaake_Chr01_42765350	NLR	notCanonic	notCanonic
Chr01_41988856	kitaake_Chr01_43063712	NLR	Canonic	Canonic
Chr01_41997892	kitaake_Chr01_43072747	NLR	Canonic	Canonic
Chr01_42169331	kitaake_Chr01_43244271	NLR	Canonic	Canonic
Chr01_42184240	kitaake_Chr01_43259179	RLK	Canonic	Canonic
